pickup_hour,day_of_week,weather_condition,pickup_zone,vehicle_type,distance_km,passenger_count,surge_multiplier,fare_amount
6,Tuesday,Foggy,University,Uber Black,1.23,4.0,1.0,6.93
19,Tuesday,Rainy,University,UberXL,15.49,4.0,1.84,50.78
14,Tuesday,Clear,Airport,UberX,1.0,2.0,,4.26
10,Thursday,Snowy,Airport,UberX,8.5,3.0,1.3,21.15
7,Wednesday,Clear,Mall,UberX,7.47,2.0,1.4,16.79
20,Tuesday,Clear,Mall,UberX,5.12,4.0,1.6,13.92
6,Sunday,Clear,Suburb,UberXL,,2.0,1.0,3.16
18,Tuesday,Rainy,Downtown,UberX,4.14,3.0,1.84,10.42
22,Saturday,Clear,Downtown,UberX,13.14,1.0,1.2,22.65
10,Monday,Rainy,Mall,UberXL,11.47,,1.15,21.82
10,Saturday,,Airport,UberX,10.74,2.0,1.2,21.56
23,Saturday,Clear,Suburb,Uber Black,11.08,1.0,1.2,31.67
20,Monday,Foggy,Downtown,UberX,1.24,2.0,,4.41
3,Sunday,Clear,Mall,UberX,1.0,3.0,1.0,3.66
7,Wednesday,,Airport,Uber Pool,15.82,4.0,1.4,30.45
23,Saturday,Clear,Airport,UberX,14.52,2.0,1.2,32.35
2,Wednesday,Snowy,Airport,UberXL,9.15,1.0,1.3,27.8
21,Saturday,Clear,University,UberX,7.45,1.0,1.2,15.77
20,Friday,Clear,Airport,Uber Pool,3.66,2.0,1.92,10.12
1,Monday,,Mall,Uber Black,2.03,1.0,1.0,6.03
23,Saturday,Clear,Suburb,UberX,8.81,4.0,1.2,15.07
11,Friday,Clear,Mall,UberXL,19.54,4.0,1.2,39.55
5,Thursday,Clear,Airport,UberX,4.6,,1.0,10.69
1,Friday,Clear,Suburb,Uber Pool,2.89,2.0,1.2,5.64
20,Tuesday,,Downtown,UberX,2.53,2.0,2.08,11.71
0,Saturday,Clear,Downtown,Uber Black,1.0,1.0,1.2,
11,Friday,,Mall,UberX,5.88,4.0,1.2,9.91
21,Wednesday,Clear,Suburb,UberXL,35.54,4.0,1.0,58.65
11,Thursday,Clear,Mall,Uber Pool,13.51,2.0,1.0,
16,Sunday,Rainy,Suburb,Uber Pool,18.22,4.0,1.15,22.45
9,Saturday,Clear,Suburb,UberX,7.77,3.0,,18.01
15,Tuesday,Clear,Mall,UberXL,5.25,4.0,1.0,11.08
14,Sunday,Rainy,Suburb,UberX,37.22,2.0,1.15,54.49
14,Friday,,Airport,UberX,4.74,4.0,1.2,12.18
18,Sunday,Clear,Suburb,UberX,19.9,4.0,1.6,42.29
11,Sunday,Clear,Suburb,UberX,11.48,1.0,1.0,16.78
22,Thursday,Clear,Mall,UberXL,3.22,3.0,1.0,6.21
19,Sunday,,Downtown,UberX,5.59,1.0,1.6,13.58
2,Sunday,Clear,University,UberXL,3.88,4.0,1.0,8.29
4,Saturday,Rainy,Suburb,UberX,1.17,4.0,1.38,3.35
18,Thursday,Foggy,University,UberX,3.53,1.0,1.6,11.17
6,Tuesday,Clear,Suburb,Uber Black,17.58,3.0,,40.95
20,Friday,Clear,Mall,UberX,11.18,2.0,1.92,28.53
8,Thursday,Clear,Mall,UberX,2.6,1.0,1.4,7.37
6,Thursday,Clear,Suburb,UberX,3.67,4.0,1.0,7.22
17,Monday,Clear,Mall,UberX,7.67,4.0,1.6,17.69
3,Thursday,Foggy,,UberXL,4.3,2.0,1.0,12.99
13,Monday,Rainy,Suburb,UberX,5.59,,1.15,11.23
17,Friday,Snowy,Downtown,UberX,,4.0,,32.68
8,Sunday,Foggy,Suburb,Uber Pool,5.04,2.0,1.4,9.32
20,Saturday,,Downtown,Uber Pool,1.7,4.0,1.92,5.89
1,Saturday,,Mall,UberX,5.88,4.0,,8.88
19,Friday,Clear,Downtown,UberXL,3.52,3.0,1.92,10.82
14,Friday,Clear,Mall,UberX,2.75,1.0,1.2,6.67
6,Wednesday,Foggy,Downtown,UberX,3.18,3.0,1.0,6.28
11,Sunday,Clear,Downtown,UberX,4.62,3.0,1.0,6.88
7,Friday,Foggy,,UberXL,17.42,4.0,1.68,48.51
14,Thursday,Clear,Downtown,UberX,10.6,,1.0,16.1
2,Saturday,Foggy,Mall,Uber Pool,,1.0,1.2,11.15
13,Tuesday,Snowy,Suburb,UberX,,4.0,1.3,10.86
16,Saturday,Rainy,Downtown,UberX,1.0,3.0,1.38,4.58
3,Monday,Rainy,Suburb,Uber Black,3.33,3.0,1.15,12.12
17,Saturday,Clear,University,UberX,13.42,,1.92,36.7
7,Wednesday,Foggy,Suburb,UberX,3.93,1.0,1.4,10.07
3,Sunday,Snowy,University,UberX,6.64,4.0,1.3,12.35
1,Friday,Rainy,University,UberX,1.83,1.0,1.38,5.93
5,Sunday,Rainy,Suburb,UberX,19.8,3.0,1.15,27.42
21,Friday,Rainy,Mall,UberX,20.53,1.0,1.38,35.79
9,Saturday,Foggy,Mall,UberX,1.26,,1.68,3.0
3,Tuesday,Clear,Mall,UberX,10.3,4.0,1.0,14.33
21,Tuesday,Foggy,Airport,Uber Pool,1.0,4.0,1.0,3.0
17,Wednesday,Clear,University,UberX,7.3,1.0,1.6,18.25
11,Monday,Clear,Suburb,UberX,1.57,2.0,1.0,3.0
1,Saturday,Clear,Mall,Uber Pool,1.26,4.0,1.2,4.12
9,Friday,Clear,Mall,UberXL,1.0,2.0,1.68,
3,Saturday,Clear,Suburb,UberX,22.62,4.0,1.2,34.44
13,Wednesday,Clear,University,UberX,14.14,3.0,1.0,19.16
15,Thursday,,Suburb,UberXL,1.0,2.0,1.0,4.55
14,Thursday,Clear,Airport,UberX,7.32,3.0,1.0,13.68
7,Wednesday,Clear,Airport,UberXL,2.12,3.0,1.4,7.24
13,Friday,Rainy,Suburb,Uber Pool,2.45,1.0,1.38,5.74
22,Sunday,Snowy,University,UberXL,16.58,3.0,1.3,39.17
7,Wednesday,Rainy,Mall,UberX,1.0,3.0,1.61,6.72
20,Friday,Snowy,Airport,UberXL,7.36,3.0,2.5,39.84
15,Tuesday,Rainy,Airport,UberXL,4.1,3.0,1.15,11.73
12,Wednesday,Clear,University,UberXL,1.69,1.0,,3.4
17,Friday,Rainy,Airport,UberX,4.81,1.0,2.21,18.4
14,Wednesday,Rainy,Airport,UberXL,22.57,3.0,1.15,54.9
20,Wednesday,Clear,University,UberXL,12.17,2.0,1.6,36.87
23,Sunday,Clear,Suburb,Uber Pool,1.13,4.0,1.0,4.29
12,Sunday,Rainy,Mall,Uber Black,15.15,2.0,,39.21
8,Friday,Clear,Mall,UberX,22.17,3.0,1.68,45.73
14,Friday,Rainy,Airport,Uber Black,2.59,1.0,1.38,11.89
12,Monday,Clear,Mall,UberX,3.24,3.0,1.0,8.34
0,Wednesday,Rainy,Suburb,Uber Black,1.08,3.0,1.15,4.32
6,Thursday,Clear,Airport,UberX,,1.0,1.0,7.51
8,Wednesday,,Mall,UberX,8.95,2.0,1.4,19.84
23,Wednesday,Clear,Downtown,Uber Black,2.54,4.0,,9.27
0,Friday,,Downtown,UberX,1.0,3.0,,3.0
11,Wednesday,Foggy,Downtown,Uber Black,,1.0,,7.76
7,Saturday,,Downtown,UberXL,4.83,,1.68,16.92
23,Wednesday,Clear,Downtown,UberX,6.68,4.0,1.0,14.77
10,Saturday,Rainy,Airport,UberX,9.21,4.0,1.38,24.36
18,Sunday,Clear,University,Uber Pool,1.0,1.0,1.6,4.58
16,Thursday,,University,UberX,5.08,3.0,1.0,10.08
7,Friday,Clear,Airport,UberXL,2.48,1.0,1.68,12.46
2,Wednesday,Rainy,Airport,Uber Black,23.65,3.0,1.15,77.83
2,Saturday,Clear,Suburb,Uber Pool,3.57,2.0,1.2,6.67
0,Saturday,Clear,University,Uber Black,1.0,4.0,1.2,7.24
4,Sunday,Rainy,Downtown,UberXL,1.0,3.0,1.15,7.66
9,Saturday,Rainy,Airport,Uber Pool,2.47,2.0,1.93,8.84
6,Tuesday,Clear,Downtown,Uber Black,1.58,1.0,1.0,4.29
8,Monday,Clear,University,Uber Black,,,1.4,30.49
6,Thursday,Clear,Mall,UberX,15.02,3.0,1.0,21.36
8,Sunday,Clear,Mall,UberX,3.0,4.0,1.4,8.84
7,Sunday,,Airport,UberXL,6.9,4.0,1.61,26.22
11,Wednesday,Clear,Suburb,UberXL,,4.0,1.0,22.06
1,Tuesday,Rainy,Downtown,UberX,4.07,1.0,1.15,8.96
0,Wednesday,Foggy,Airport,UberX,1.0,4.0,1.0,4.15
15,Wednesday,Clear,Suburb,UberXL,2.08,3.0,1.0,
22,Friday,Snowy,Downtown,UberX,17.17,1.0,1.56,38.0
22,Friday,Clear,University,UberX,13.92,2.0,1.2,23.97
23,Friday,Clear,Mall,UberX,1.0,3.0,1.2,4.12
4,Tuesday,Clear,Suburb,Uber Black,2.03,1.0,1.0,8.14
2,Wednesday,Clear,Downtown,UberX,11.73,3.0,1.0,14.88
11,Monday,Clear,Airport,UberX,5.32,3.0,1.0,10.6
7,Thursday,Clear,Downtown,UberX,11.42,2.0,1.4,
21,Friday,Rainy,Airport,UberX,1.9,1.0,1.38,7.01
2,Friday,Foggy,Mall,Uber Black,24.41,4.0,1.2,65.03
0,Sunday,,Mall,UberXL,12.25,3.0,1.15,25.84
2,Wednesday,Clear,Downtown,UberX,1.76,3.0,1.0,4.9
4,Wednesday,,Downtown,UberX,6.54,3.0,1.15,13.57
14,Tuesday,Rainy,,Uber Pool,1.0,3.0,1.15,4.71
13,Tuesday,Foggy,Airport,UberX,3.59,3.0,1.0,8.59
2,Friday,Foggy,Suburb,UberXL,8.62,1.0,1.2,19.06
0,Wednesday,Foggy,Suburb,UberX,3.21,3.0,1.0,6.78
4,Monday,Clear,Suburb,UberX,8.55,3.0,1.0,13.19
22,Thursday,Rainy,Downtown,UberX,,3.0,1.15,7.91
13,Wednesday,Clear,Suburb,UberXL,10.22,4.0,1.0,23.34
6,Sunday,Snowy,Downtown,UberX,3.57,4.0,1.3,7.01
8,Wednesday,Clear,Mall,UberX,12.5,1.0,1.4,19.52
14,Saturday,Clear,University,UberX,1.18,3.0,1.2,3.49
14,Tuesday,Clear,Mall,UberX,3.6,3.0,1.0,5.41
9,Sunday,Rainy,Downtown,UberX,4.99,,1.61,14.37
12,Thursday,Clear,Downtown,UberX,4.41,4.0,1.0,10.56
18,Friday,Clear,University,UberX,4.54,2.0,1.92,14.71
6,Sunday,,Airport,Uber Black,4.71,3.0,1.3,19.54
16,Wednesday,Foggy,Airport,UberXL,35.94,3.0,1.0,78.35
19,Friday,,Airport,UberX,1.72,2.0,1.92,9.47
3,Wednesday,Clear,Suburb,UberX,11.71,1.0,1.0,17.55
4,Friday,Foggy,Airport,UberXL,6.42,1.0,1.2,19.35
22,Thursday,,Suburb,UberX,4.27,2.0,1.0,7.45
6,Tuesday,Clear,Suburb,UberX,8.03,3.0,1.0,10.31
12,Thursday,Rainy,Airport,UberXL,15.37,2.0,1.15,40.91
14,Saturday,Clear,Airport,Uber Pool,5.03,4.0,1.2,
10,Monday,Foggy,,UberX,16.01,1.0,1.0,20.61
3,Tuesday,Rainy,University,UberX,1.0,2.0,1.15,5.1
12,Thursday,Clear,Suburb,Uber Pool,8.47,1.0,1.0,8.92
6,Saturday,Clear,University,UberX,3.24,4.0,1.2,8.1
18,Monday,Foggy,Suburb,Uber Pool,3.91,3.0,1.6,6.03
21,Saturday,Rainy,Downtown,UberX,6.77,3.0,1.38,16.0
1,Wednesday,Clear,Suburb,UberX,5.23,3.0,1.0,9.42
9,Wednesday,,Suburb,UberXL,3.85,1.0,1.61,13.66
12,Friday,Rainy,University,Uber Pool,2.95,4.0,1.38,7.32
20,Tuesday,Clear,,Uber Pool,7.71,2.0,1.6,14.99
5,Wednesday,Rainy,Mall,UberX,5.63,3.0,1.15,11.45
11,Sunday,Rainy,Mall,UberXL,3.12,1.0,1.15,7.57
11,Saturday,,Mall,UberXL,1.83,3.0,1.56,7.93
19,Tuesday,Clear,Downtown,UberXL,11.91,4.0,1.6,35.21
10,Sunday,Clear,Airport,Uber Black,12.86,2.0,1.0,40.22
22,Wednesday,Clear,,UberX,1.92,3.0,1.0,4.75
6,Friday,Rainy,University,UberX,2.43,4.0,1.38,7.46
0,Thursday,Rainy,Suburb,Uber Pool,2.19,1.0,1.15,4.34
0,Friday,,Suburb,Uber Pool,17.27,4.0,,20.75
19,Sunday,Rainy,University,UberX,11.9,1.0,1.84,29.75
12,Monday,Clear,University,UberX,1.0,3.0,1.0,3.0
8,Wednesday,Snowy,Suburb,Uber Pool,14.3,3.0,1.82,27.22
2,Sunday,Clear,Airport,UberX,1.0,4.0,1.0,4.13
6,Monday,Foggy,Airport,UberXL,2.34,1.0,1.0,5.43
5,Monday,Clear,Airport,UberX,20.11,4.0,1.0,33.06
7,Saturday,Rainy,University,Uber Pool,15.98,4.0,1.93,30.78
8,Tuesday,Rainy,Suburb,UberX,12.17,3.0,1.61,26.61
4,Saturday,Rainy,Suburb,UberX,4.89,3.0,1.38,10.28
0,Wednesday,,Suburb,UberX,3.1,,1.0,7.58
18,Monday,Clear,Downtown,Uber Pool,17.07,4.0,1.6,27.75
9,Sunday,Rainy,Downtown,Uber Black,8.56,4.0,1.61,36.5
11,Thursday,Foggy,Mall,Uber Black,2.8,2.0,1.0,9.19
23,Monday,Clear,Downtown,UberX,4.98,2.0,1.0,8.44
14,Sunday,Foggy,Airport,Uber Pool,17.06,4.0,1.0,22.84
21,Thursday,Clear,Airport,Uber Black,18.7,2.0,1.0,55.93
23,Saturday,Clear,Airport,Uber Black,8.61,4.0,1.2,
8,Saturday,Rainy,Airport,Uber Pool,10.55,3.0,1.93,26.48
19,Tuesday,Rainy,Mall,UberX,1.0,1.0,1.84,6.41
16,Sunday,Snowy,Airport,UberXL,7.42,,1.3,23.81
16,Monday,Rainy,University,Uber Pool,9.34,4.0,1.15,10.78
19,Friday,Clear,University,Uber Black,1.0,3.0,1.92,6.81
11,Saturday,Clear,University,UberXL,14.86,4.0,1.2,33.71
6,Saturday,Clear,Downtown,UberX,21.08,4.0,,36.26
1,Tuesday,Clear,Suburb,UberXL,2.17,2.0,1.0,6.09
2,Thursday,,Mall,UberXL,14.96,,1.15,30.24
16,Tuesday,Clear,University,UberX,8.76,1.0,1.0,14.45
4,Monday,,University,Uber Pool,6.95,2.0,1.0,8.49
16,Sunday,Clear,Airport,UberX,14.82,1.0,1.0,25.19
23,Wednesday,Clear,University,UberX,2.69,4.0,1.0,7.15
16,Wednesday,Clear,Airport,UberXL,12.52,3.0,1.0,28.85
16,Sunday,Foggy,Airport,UberX,3.02,4.0,1.0,6.95
1,Thursday,Rainy,Suburb,UberX,12.39,4.0,1.15,19.65
1,Saturday,Rainy,Downtown,UberX,4.8,3.0,,12.01
21,Thursday,Rainy,Airport,UberX,1.0,3.0,1.15,4.27
22,Saturday,,Airport,UberX,3.84,1.0,1.2,9.93
4,Saturday,Foggy,Suburb,UberX,2.13,2.0,1.2,3.0
0,Wednesday,Clear,Airport,UberX,1.0,2.0,1.0,4.43
0,Thursday,Clear,Mall,UberX,1.0,2.0,1.0,3.51
18,Tuesday,Rainy,Downtown,UberXL,12.12,1.0,1.84,43.13
1,Saturday,Clear,Mall,Uber Pool,17.06,1.0,1.2,20.85
20,Friday,Rainy,University,UberXL,20.95,3.0,2.21,82.44
11,Friday,Clear,Downtown,Uber Black,15.39,2.0,1.2,48.11
5,Tuesday,Rainy,University,UberX,14.19,4.0,1.15,21.95
22,Friday,Clear,Airport,Uber Black,1.0,1.0,1.2,4.08
3,Monday,,,UberXL,12.49,4.0,,
22,Saturday,Rainy,Mall,UberX,12.23,2.0,1.38,22.8
10,Tuesday,Clear,University,UberX,1.13,,1.0,3.0
23,Thursday,Clear,Airport,UberX,8.68,1.0,1.0,15.96
16,Saturday,Clear,Mall,UberXL,4.82,,1.2,11.26
5,Tuesday,Rainy,Mall,UberX,18.42,3.0,1.15,28.22
23,Wednesday,Rainy,University,Uber Pool,9.51,4.0,1.15,15.86
4,Thursday,Clear,Airport,UberX,24.13,3.0,1.0,37.64
19,Wednesday,Snowy,Suburb,UberX,1.0,,2.08,
1,Saturday,Foggy,University,UberXL,1.0,4.0,1.2,5.24
